,name,handedness,height,weight,avg,homeruns,hr_bucket,bmi,bmi_bucket,hr_sqrt
822,Ron Cey,R,70,185,0.261,316,Big home run hitter (over 200 HR),26.54183673,26,17.77638883
823,Skip Jutze,R,71,190,0.215,3,Low home run hitter (under 25 HR),26.49672684,26,1.732050808
824,Butch Wynegar,B,73,190,0.255,65,Mid home run hitter (25-100 HR),25.0647401,25,8.062257748
825,Ron LeFlore,R,72,200,0.288,59,Mid home run hitter (25-100 HR),27.12191358,27,7.681145748
826,Bill Russell,R,72,175,0.263,46,Mid home run hitter (25-100 HR),23.73167438,23,6.782329983
827,Gene Tenace,R,72,190,0.241,201,Big home run hitter (over 200 HR),25.7658179,25,14.17744688
828,Bubba Morton,R,70,175,0.267,14,Low home run hitter (under 25 HR),25.10714286,25,3.741657387
829,Ellie Rodriguez,R,71,185,0.245,16,Low home run hitter (under 25 HR),25.79944455,25,4
830,Darrel Chaney,B,74,188,0.217,14,Low home run hitter (under 25 HR),24.13513514,24,3.741657387
831,Dick Nen,L,74,200,0.224,21,Low home run hitter (under 25 HR),25.67567568,25,4.582575695
832,Bill Freehan,R,75,203,0.262,200,Big home run hitter (over 200 HR),25.37048889,25,14.14213562
833,Steve Nicosia,R,70,185,0.248,11,Low home run hitter (under 25 HR),26.54183673,26,3.31662479
834,Ted Savage,R,73,185,0.233,34,Mid home run hitter (25-100 HR),24.40514168,24,5.830951895
835,Pete Mackanin,R,74,190,0.226,30,Mid home run hitter (25-100 HR),24.39189189,24,5.477225575
836,Rich Dauer,R,72,180,0.257,43,Mid home run hitter (25-100 HR),24.40972222,24,6.557438524
837,Mick Kelleher,R,69,176,0.213,0,Low home run hitter (under 25 HR),25.98781769,25,0
838,Rowland Office,L,72,170,0.259,32,Mid home run hitter (25-100 HR),23.05362654,23,5.656854249
839,Rick Leach,L,73,180,0.268,18,Low home run hitter (under 25 HR),23.74554325,23,4.242640687
840,Dwayne Murphy,L,73,185,0.246,166,Big home run hitter (over 200 HR),24.40514168,24,12.88409873
841,Larry Harlow,L,74,185,0.248,12,Low home run hitter (under 25 HR),23.75,23,3.464101615
843,Jerry Mumphrey,B,74,185,0.289,70,Mid home run hitter (25-100 HR),23.75,23,8.366600265
844,Don Sutton,R,73,185,0.144,0,Low home run hitter (under 25 HR),24.40514168,24,0
845,Glenn Beckert,R,73,190,0.283,22,Low home run hitter (under 25 HR),25.0647401,25,4.69041576
846,Ron Davis,R,72,175,0.233,10,Low home run hitter (under 25 HR),23.73167438,23,3.16227766
847,Mike Shannon,R,75,195,0.255,68,Mid home run hitter (25-100 HR),24.37066667,24,8.246211251
848,Jason Thompson,L,76,200,0.261,208,Big home run hitter (over 200 HR),24.34210526,24,14.4222051
849,Wayne Tolleson,B,69,160,0.241,9,Low home run hitter (under 25 HR),23.6252888,23,3
850,Mike Jorgensen,L,72,195,0.243,95,Mid home run hitter (25-100 HR),26.44386574,26,9.746794345
851,Ed Romero,R,71,160,0.247,8,Low home run hitter (under 25 HR),22.31303313,22,2.828427125
852,Rick Joseph,R,73,192,0.243,13,Low home run hitter (under 25 HR),25.32857947,25,3.605551275
853,Cecil Cooper,L,74,165,0.298,241,Big home run hitter (over 200 HR),21.18243243,21,15.5241747
854,Bill Almon,R,75,180,0.254,36,Mid home run hitter (25-100 HR),22.496,22,6
855,Joe Ferguson,R,74,200,0.24,122,Big home run hitter (over 200 HR),25.67567568,25,11.04536102
856,Jerry Terrell,R,71,165,0.253,4,Low home run hitter (under 25 HR),23.01031541,23,2
857,Dave Revering,L,76,210,0.265,62,Mid home run hitter (25-100 HR),25.55921053,25,7.874007874
858,Curt Ford,L,70,150,0.245,7,Low home run hitter (under 25 HR),21.52040816,21,2.645751311
859,Jerry Dybzinski,R,74,180,0.234,3,Low home run hitter (under 25 HR),23.10810811,23,1.732050808
860,Bob Burda,L,71,174,0.224,13,Low home run hitter (under 25 HR),24.26542353,24,3.605551275
861,Jesse Gonder,L,70,180,0.251,26,Mid home run hitter (25-100 HR),25.8244898,25,5.099019514
862,Gary Sutherland,R,72,185,0.243,24,Low home run hitter (under 25 HR),25.08777006,25,4.898979486
863,Bob Coluccio,R,71,183,0.22,26,Mid home run hitter (25-100 HR),25.52053164,25,5.099019514
864,Dave Rader,L,71,165,0.257,30,Mid home run hitter (25-100 HR),23.01031541,23,5.477225575
865,Ron Gardenhire,R,72,175,0.232,4,Low home run hitter (under 25 HR),23.73167438,23,2
866,Bill Sharp,L,70,178,0.255,9,Low home run hitter (under 25 HR),25.53755102,25,3
867,Alan Bannister,R,71,170,0.27,19,Low home run hitter (under 25 HR),23.7075977,23,4.358898944
868,Bob Watson,R,72,201,0.295,184,Big home run hitter (over 200 HR),27.25752315,27,13.56465997
869,Ken Harrelson,R,74,190,0.239,131,Big home run hitter (over 200 HR),24.39189189,24,11.44552314
870,Bobby Wine,R,73,187,0.215,30,Mid home run hitter (25-100 HR),24.66898105,24,5.477225575
871,John Kennedy,R,72,185,0.225,32,Mid home run hitter (25-100 HR),25.08777006,25,5.656854249
872,Chico Ruiz,B,72,169,0.24,2,Low home run hitter (under 25 HR),22.91801698,22,1.414213562
874,Doug Frobel,L,76,196,0.201,20,Low home run hitter (under 25 HR),23.85526316,23,4.472135955
875,Luis Melendez,R,72,165,0.248,9,Low home run hitter (under 25 HR),22.3755787,22,3
876,Bill Plummer,R,73,190,0.188,14,Low home run hitter (under 25 HR),25.0647401,25,3.741657387
877,Buck Rodgers,B,74,190,0.232,31,Mid home run hitter (25-100 HR),24.39189189,24,5.567764363
878,Phil Niekro,R,73,180,0.169,7,Low home run hitter (under 25 HR),23.74554325,23,2.645751311
879,Tom Poquette,L,70,175,0.268,10,Low home run hitter (under 25 HR),25.10714286,25,3.16227766
880,Brian Asselstine,L,73,175,0.254,12,Low home run hitter (under 25 HR),23.08594483,23,3.464101615
881,Rick Miller,L,72,175,0.269,28,Mid home run hitter (25-100 HR),23.73167438,23,5.291502622
882,Ed Charles,R,70,170,0.263,86,Mid home run hitter (25-100 HR),24.38979592,24,9.273618496
883,Luis Gomez,R,69,150,0.21,0,Low home run hitter (under 25 HR),22.14870825,22,0
884,Floyd Rayford,R,70,190,0.244,38,Mid home run hitter (25-100 HR),27.25918367,27,6.164414003
885,Tony Conigliaro,R,75,185,0.264,166,Big home run hitter (over 200 HR),23.12088889,23,12.88409873
886,Jim Barr,R,75,205,0.162,1,Low home run hitter (under 25 HR),25.62044444,25,1
887,Jerry Remy,L,69,165,0.275,7,Low home run hitter (under 25 HR),24.36357908,24,2.645751311
888,Frank Duffy,R,73,180,0.232,26,Mid home run hitter (25-100 HR),23.74554325,23,5.099019514
889,Tom O'Malley,L,72,180,0.256,13,Low home run hitter (under 25 HR),24.40972222,24,3.605551275
890,Phil Garner,R,70,175,0.26,109,Big home run hitter (over 200 HR),25.10714286,25,10.44030651
