,name,handedness,height,weight,avg,homeruns,hr_bucket,bmi,bmi_bucket,hr_sqrt
620,Terry Harmon,R,74,180,0.233,4,Low home run hitter (under 25 HR),23.10810811,23,2
621,Mike Hargrove,L,72,195,0.29,80,Mid home run hitter (25-100 HR),26.44386574,26,8.94427191
622,Steve Hovley,L,70,188,0.258,8,Low home run hitter (under 25 HR),26.9722449,26,2.828427125
624,Lee May,R,75,195,0.267,354,Big home run hitter (over 200 HR),24.37066667,24,18.81488772
625,Sam McDowell,L,77,190,0.154,2,Low home run hitter (under 25 HR),22.52825097,22,1.414213562
626,Rick Renick,R,72,188,0.221,20,Low home run hitter (under 25 HR),25.49459877,25,4.472135955
627,Jeff Torborg,R,72,195,0.214,8,Low home run hitter (under 25 HR),26.44386574,26,2.828427125
628,Dave Campbell,R,73,180,0.213,20,Low home run hitter (under 25 HR),23.74554325,23,4.472135955
629,Pat Kelly,L,73,185,0.264,76,Mid home run hitter (25-100 HR),24.40514168,24,8.717797887
630,Al Weis,B,72,160,0.219,7,Low home run hitter (under 25 HR),21.69753086,21,2.645751311
631,Jerry Turner,L,69,180,0.257,45,Mid home run hitter (25-100 HR),26.57844991,26,6.708203933
632,Rick Auerbach,R,72,165,0.22,9,Low home run hitter (under 25 HR),22.3755787,22,3
633,Don Wilson,R,74,195,0.146,1,Low home run hitter (under 25 HR),25.03378378,25,1
634,Sandy Valdespino,L,68,170,0.23,7,Low home run hitter (under 25 HR),25.84558824,25,2.645751311
635,Ken Phelps,L,73,209,0.239,123,Big home run hitter (over 200 HR),27.57121411,27,11.09053651
636,Cesar Cedeno,R,74,175,0.285,199,Big home run hitter (over 200 HR),22.46621622,22,14.10673598
637,Phil Linz,R,73,180,0.235,11,Low home run hitter (under 25 HR),23.74554325,23,3.31662479
638,Manny Mota,R,70,160,0.304,31,Mid home run hitter (25-100 HR),22.95510204,22,5.567764363
639,Steve Renko,R,77,230,0.215,6,Low home run hitter (under 25 HR),27.27104065,27,2.449489743
640,Rick Sofield,L,73,195,0.243,9,Low home run hitter (under 25 HR),25.72433853,25,3
641,Doug DeCinces,R,74,190,0.259,237,Big home run hitter (over 200 HR),24.39189189,24,15.39480432
642,John Castino,R,71,175,0.278,41,Mid home run hitter (25-100 HR),24.40487998,24,6.403124237
643,Dave May,L,70,186,0.251,96,Mid home run hitter (25-100 HR),26.68530612,26,9.797958971
644,Ron Washington,R,71,155,0.261,20,Low home run hitter (under 25 HR),21.61575084,21,4.472135955
645,Billy Grabarkewitz,R,70,165,0.236,28,Mid home run hitter (25-100 HR),23.67244898,23,5.291502622
646,Willie Aikens,L,75,220,0.271,110,Big home run hitter (over 200 HR),27.49511111,27,10.48808848
647,Earl Williams,R,75,215,0.247,138,Big home run hitter (over 200 HR),26.87022222,26,11.74734012
